行政区划,电子监管号,地址,地块面积,土地来源,土地用途,出让方式,使用年限,行业,土地等级,成交价格,土地使用权人,容积率上限,签订日期,,,,,,,
北京市本级,1101002007B05887,通州区半壁店大街25号,26.72,26.72,中低价位、中小套型普通商品住房用地,招标出让,70,房地产业,七级,148000,北京龙湖中佰置业有限公司,2.5,2007/11/29,,,,,,,
北京市本级,1101002007B05860,朝阳区西大望路27号,4.3065,4.3065,其他普通商品住房用地,招标出让,70,商务服务业,三级,170000,北京万科企业有限公司,4.6,2007/11/29,,,,,,,
北京市本级,1101002007B05832,海淀区科学院南路6号,1.5388,1.5388,其他商服用地,挂牌出让,50,房地产业,三级,66400,北京融科智地房地产开发有限公司,3,2007/11/29,,,,,,,
北京市本级,1101002007B06648,北京经济技术开发区路东区B2号街区,1.7089,0,工业用地,挂牌出让,50,化学原料及化学制品制造业,五级,854.43,北京亚宝生物药业有限公司,1.5,2007/11/27,,,,,,,
北京市本级,1101002007B05812,密云县妇幼保健院南侧,3.0692,3.0692,其他普通商品住房用地,挂牌出让,70,房地产业,八级,18000,北京世纪鸿房地产开发有限责任公司,2.5,2007/11/22,,,,,,,
北京市本级,1101002007B05781,密云县阳光街北侧,1.2928,1.2928,其他普通商品住房用地,招标出让,70,房地产业,八级,2650,北京市密云县房地产开发总公司,2,2007/11/22,,,,,,,
北京市本级,1101002007B05754,顺义区杨镇一街东侧,6.7031,6.7031,其他住房用地,挂牌出让,70,房地产业,八级,16100,北京顺鑫佳宇房地产开发有限公司,1.6,2007/11/22,,,,,,,
北京市本级,1101002007B05692,密云县密溪路西侧,4.3531,4.3531,其他住房用地,招标出让,70,房地产业,八级,6500,北京市朝阳城市建设综合开发公司,1,2007/11/15,,,,,,,
北京市本级,1101002007B05717,丰台区岳各庄居住东区1号,0.4504,0.4504,其他商服用地,挂牌出让,50,房地产业,四级,3860,北京京大昆仑房地产开发有限公司,2.1,2007/11/15,,,,,,,
北京市本级,,丰台区岳各庄居住东区1号地6#综合楼,0.4504,0.4504,其他土地,挂牌出让,50,,三级,0,,,2007/11/15,,,,,,,
北京市本级,,密云县密溪路西侧商业住宅小区,4.353,4.353,其他普通商品住房用地,招标出让,70,,七级,0,,,2007/11/15,,,,,,,
北京市本级,1101002007B05617,朝阳区望京文化娱乐（B30）,3.114,3.114,文体娱乐用地,挂牌出让,40,房地产业,五级,58900,北京合生北方房地产开发有限公司,3.5,2007/11/8,,,,,,,
北京市本级,1101002007B05734,怀柔区雁栖镇陈各庄村西（育龙小镇）,11.6137,11.6137,其他普通商品住房用地,招标出让,70,房地产业,七级,31500,北京军建育龙房地产开发有限责任公司,0,2007/11/8,,,,,,,
北京市本级,,朝阳区望京文化娱乐（B30）项目,3.1139,3.1139,其他土地,挂牌出让,50,,四级,0,,,2007/11/8,,,,,,,
北京市本级,,怀柔区雁栖镇陈各庄村西（育龙小镇）住宅项目,11.6137,11.6137,其他普通商品住房用地,招标出让,70,,六级,0,,,2007/11/8,,,,,,,
北京市本级,1101002007B06627,北京经济技术开发区路东区B3号街区,2.9549,0,工业用地,挂牌出让,50,化学原料及化学制品制造业,五级,1477.43,中美天道（北京）生物技术有限公司,2.5,2007/11/6,,,,,,,
北京市本级,1101002007B06598,北京经济技术开发区路东区D5号街区,2.0604,0,工业用地,挂牌出让,50,通讯设备、计算机及其他电子设备制造业,五级,927.1755,北京高威科瑞技术有限公司,1.5,2007/11/5,,,,,,,
北京市本级,1101002007B06613,北京经济技术开发区南部新区X19号街区,3.0042,0,工业用地,挂牌出让,50,印刷业和记录媒体的复制,五级,1652.3366,北京新华印刷有限公司,1.7,2007/11/1,,,,,,,
北京市本级,1101002007B06607,北京经济技术开发区路东区A17号街区,0.9337,0,工业用地,挂牌出让,50,商务服务业,五级,560.2375,,2.5,2007/10/30,,,,,,,
北京市本级,1101002007B05465,顺义区马坡镇顺义新城1号,37.9035,37.9035,其他普通商品住房用地,招标出让,其他普通商品住房用地70年; 其他商服用地40,房地产业,七级,109400,北京顺义新城建设开发有限公司,2.1,2007/10/30,,,,,,,
北京市本级,,顺义区马坡镇顺义新城1号地住宅及配套、商业金融、文化娱乐,37.9035,37.9035,其他普通商品住房用地,招标出让,70,,六级,0,,,2007/10/30,,,,,,,
北京市本级,1101002007B05477,大兴区黄村镇孙村,16.6213,16.6213,其他普通商品住房用地,招标出让,70,房地产业,七级,120329.9,北京弈环天和置业有限公司,1.8,2007/10/26,,,,,,,
北京市本级,,大兴区黄村镇孙村组团A-06、07、13、14地块,16.6212,16.6212,其他普通商品住房用地,招标出让,70,,六级,0,,,2007/10/26,,,,,,,
北京市本级,,南部新区X19-1F1地块,3.0042,0,工矿仓储用地,挂牌出让,50,,二级,0,,,2007/10/18,,,,,,,
北京市本级,,路东区B2M5地块,1.7089,0,工矿仓储用地,挂牌出让,50,,二级,0,,,2007/10/17,,,,,,,
北京市本级,,路东区B3M1、B3F1地块,2.9549,0,工矿仓储用地,挂牌出让,50,,二级,0,,,2007/10/17,,,,,,,
北京市本级,,路东区A17F1地块,0.9337,0,工矿仓储用地,挂牌出让,50,,二级,0,,,2007/10/11,,,,,,,
北京市本级,,路东区D5M3地块,2.0604,0,工矿仓储用地,挂牌出让,50,,二级,0,,,2007/10/10,,,,,,,
北京市本级,1101002007B06579,北京经济技术开发区路东区A17号街区,5.4774,0,工业用地,挂牌出让,50,金属制品业,五级,2738.705,北京玻钢院复合材料有限公司,1.5,2007/10/8,,,,,,,
北京市本级,1101002007B06580,北京经济技术开发区路东区B2号街区,1.2892,0,工业用地,挂牌出让,50,化学原料及化学制品制造业,五级,709.06,北京三维生物工程有限公司,1.5,2007/9/25,,,,,,,
