行政区	电子监管号	项目名称	项目位置	面积(公顷)	土地来源	土地用途	供地方式	土地使用年限	行业分类	土地级别	成交价格(万元)	土地使用权人	约定容积率下限	约定容积率上限	约定交地时间	约定开工时间	约定竣工时间	批准单位	合同签定日期	url
﻿﻿瓜州县	6209222014A00192	瓜星高速公路瓜州至柳园段辅道工程建设项目	瓜州县境内	144.570000	新增建设用地(来自存量库)	公路用地	划拨		道路运输业	十四等级					2014年01月13日	2014年01月13日	2015年01月13日	瓜州县人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=502b4507-bcdd-468d-8f85-23a416b94b42
﻿瓜州县	6209222014B00185-1	安北第四风电场B区330升压站	安北第四风电场B区	3.327420	新增建设用地	工业用地	协议出让	50	其它	十四等级	84.8492	国电酒泉风电项目筹建处		1.00	2014年01月13日	2014年01月13日	2015年01月13日	瓜州县人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e778e9e1-7811-408a-a59f-ada44bae2617
﻿瓜州县	6209222014B00178	安北第六风电场A区监控中心大楼	安北第六风电场A区	0.382633	新增建设用地	工业用地	协议出让	50	其它	十四等级	9.7572	甘肃电投鼎新风电有限责任公司		1.50	2014年01月13日	2014年01月13日	2015年01月13日	瓜州县人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9b9da344-9966-4122-8d01-98ad6e19ab29
﻿阳西县	4417212014B00060	商业金融用地	阳西县沙扒镇月亮湾（沙扒乌石头村委会容路子）	1.254643	新增建设用地	商务金融用地	挂牌出让	40	其他金融服务	未评估地区	1304.8300	广东东方月亮湾有限公司	0.80		2015年01月11日	2016年01月11日	2019年01月11日	阳西县人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1f82285c-971b-47a2-a3fe-e7360d10b851
﻿阳西县	4417212014B00076	商业金融用地	阳西县沙扒镇月亮湾（沙扒乌石头村委会容路子）	1.121826	新增建设用地	商务金融用地	挂牌出让	40	其他金融服务	未评估地区	1177.9200	广东东方月亮湾有限公司	0.80		2015年01月11日	2016年01月11日	2019年01月11日	阳西县人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c892fcc8-3674-4874-8405-1ea24402bc46
﻿石首市	4210812014B00268	吴志兵	石首市原种场城关队	0.004418	现有建设用地	其他普通商品住房用地	协议出让	70	居民服务业	二级	1.7160	吴志兵	2.00	1.00	2013年11月26日	1900年01月01日	1900年01月01日	石首市人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=43f10aa3-1c7f-4483-a41f-3221ab588359
﻿阳西县	4417212014B00050	商业金融用地	阳西县沙扒镇月亮湾（沙扒乌石头村委会容路子）	1.001493	新增建设用地	商务金融用地	挂牌出让	40	其他金融服务	未评估地区	1051.5700	广东东方月亮湾有限公司	0.80		2015年01月11日	2016年01月11日	2019年01月11日	阳西县人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1973c657-ab8b-4581-b966-73ae48f413da
﻿阳西县	4417212014B00114	商品住宅	阳西县沙扒镇月亮湾（沙扒乌石头村委会容路子）	1.635584	新增建设用地	中低价位、中小套型普通商品住房用地	挂牌出让	70	房地产业	未评估地区	1701.0100	广东东方月亮湾有限公司	1.80	1.00	2015年01月11日	2016年01月11日	2019年01月11日	阳西县人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c8404c85-a8ca-4151-80a6-04434e2a4a6f
﻿阳西县	4417212014B00046	商业金融用地	阳西县沙扒镇月亮湾（沙扒乌石头村委会容路子）	0.722655	新增建设用地	商务金融用地	挂牌出让	40	其他金融服务	未评估地区	751.5600	广东东方月亮湾有限公司	0.80		2015年01月11日	2016年01月11日	2019年01月11日	阳西县人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0ff12cd5-4215-45f6-94d4-3bba2dee1292
﻿瓜州县	6209222014B00169	15万吨铁精粉及处理铁矿石120万吨扩建建设项目	锁阳城东巴兔	0.570700	新增建设用地	工业用地	协议出让	50	其它	十四等级	14.5529	瓜州县华戎投资有限公司		0.70	2014年01月13日	2014年01月13日	2015年01月13日	瓜州县人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dd6dde78-5b8b-45fb-898c-303e9d018cf6
﻿阳西县	4417212014B00105	商品住宅	阳西县沙扒镇月亮湾（沙扒乌石头村委会容路子）	3.820994	新增建设用地	中低价位、中小套型普通商品住房用地	挂牌出让	70	房地产业	未评估地区	5081.9200	广东东方月亮湾有限公司	2.80	1.00	2015年01月11日	2016年01月11日	2019年01月11日	阳西县人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5fa1c9cd-39f4-4132-8a5a-5227cda6abf3
﻿景洪市	5328012014A02175	景洪农场危房改造扩建（南联山）	西双版纳旅游度假区二期	4.482500	新增建设用地	中低价位、中小套型普通商品住房用地	划拨		国家机构	三级			1.50	1.00	2014年01月26日	2014年02月26日	2016年02月26日	西双版纳州国土资源局人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2c9a71f9-d3ea-4013-ac6a-e93b113db098
﻿太原市本级	1401002014B06880	关于将部分国有建设用地使用权协议出让给太原东山煤矿有限责任公司	杏花岭区杨家峪村用地以东、以西、以北，东山煤矿以南	6.310614	现有建设用地	工业用地	协议出让	50	煤炭开采和洗选业	未评估地区	1832.6149	太原东山煤矿有限责任公司	1.00	1.00	2014年01月12日	1900年01月01日	1900年01月01日	太原市人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=438e766b-2b0d-4dad-b804-04733887cb94
﻿阳西县	4417212014B00098	旅馆业用地	阳西县沙扒镇月亮湾（沙扒乌石头村委会容路子）	2.370059	新增建设用地	住宿餐饮用地	挂牌出让	40	住宿业	未评估地区	2370.0500	广东东方月亮湾有限公司	0.70		2015年01月11日	2016年01月11日	2019年01月11日	阳西县人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e0a0cfbf-6a72-46bf-8f8c-ace670999c41
﻿阳西县	4417212014B00088	旅馆业用地	阳西县沙扒镇月亮湾（沙扒乌石头村委会容路子）	1.991628	新增建设用地	住宿餐饮用地	挂牌出让	40	住宿业	未评估地区	2389.9500	广东东方月亮湾有限公司	2.10		2015年01月11日	2016年01月11日	2019年01月11日	阳西县人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bb5a678c-0bb7-4979-a3b5-f792bdfc5a63
﻿大冶市	4202812014B00028	黄石雄博房地产开发有限公司商住楼开发项目	大冶市汪仁镇大棋路以北	3.125200	新增建设用地	其他普通商品住房用地	拍卖出让	其他商服用地40年; 其他普通商品住房用地70	房地产业	二级	3520.0000	黄石雄博房地产开发有限公司	2.50	1.00	2014年01月22日	2014年08月01日	2017年07月31日	大冶市人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3734f40b-b9aa-4d7b-b4d2-1b2aad0d3545
﻿桦甸市	2202822014A01170	公吉小学食堂楼	桦甸市公吉乡中心校院内	0.062900	现有建设用地	科教用地	划拨		教育业	三级			0.30		2014年11月22日	2015年05月22日	2017年05月22日	桦甸市人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9f190410-3ebe-4717-948e-9100e6873759
﻿浏阳市	4301812014B01244	新建1.76亿片／年触摸屏生产基地项目	长沙国家生物产业基地康天路以北、湘台路以东	1.340188	新增建设用地	工业用地	挂牌出让	50	通讯设备、计算机及其他电子设备制造业	十级	465.0000	介面光电（湖南）有限公司	1.50	1.00	2014年01月13日	2014年01月13日	2016年01月13日	浏阳市人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8911641d-1409-4848-aca1-564a94b58302
﻿合肥市本级	3401002014B00748	安徽皖投新辉光电科技有限公司	合肥市经济技术开发区紫蓬路南、桃源路东	0.408719	新增建设用地	工业用地	挂牌出让	50	通用设备制造业	一级	156.9481	安徽皖投新辉光电科技有限公司	0.00	1.10	2014年02月13日	2014年04月13日	2015年04月13日	合肥市人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ea49d2f2-1ac8-48a8-b84e-f53885213f5f
﻿浏阳市	4301812014B01236	新建1.76亿片／年触摸屏生产基地项目	长沙国家生物产业基地康天路以南、湘台路以东	1.999830	新增建设用地	工业用地	挂牌出让	50	通讯设备、计算机及其他电子设备制造业	十级	680.0000	介面光电（湖南）有限公司	2.00	1.50	2014年01月13日	2014年01月13日	2016年01月13日	浏阳市人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9835eaa9-c20e-43e1-b2bb-6e8026d457e9
﻿罗江县	5106262014B00166	个人住宅	罗江县鄢家镇场镇干道	0.011214	现有建设用地	其他普通商品住房用地	协议出让	70	房地产业	二级	3.2818	龙继春		1.00	2014年01月12日	2014年01月12日	2014年07月11日	罗江县人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=90f92416-00b4-4e8e-9efb-a390e8889952
﻿广州市本级	4401002014A00048	炭步镇污水处理厂	花都区炭步镇石湖村地段	6.122900	新增建设用地	公共设施用地	划拨		国家机构	八级					2014年01月12日	2015年07月12日	2018年01月12日	广州市人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b83d23d5-4fa3-43f1-bee7-4d63cbac6c18
﻿南川区	5001192014A00477	龙济大道气站段	西城街道长远居委4、6组	1.975000	新增建设用地	公路用地	划拨		公共设施管理业	十一级					2014年01月31日	1900年01月01日	1900年01月01日	重庆市南川区人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c7f662c0-61be-4ccb-8df1-2d6c363fb6f3
﻿浏阳市	4301812014B01229	抗生素系列酶及其酶法生产医药中间体产业基地项目	长沙国家生物产业基地康成路以东、康平路以南	6.140306	现有建设用地	工业用地	挂牌出让	50	医药制造业	十级	2138.0000	湖南宝利士生物技术有限公司	1.50	0.80	2014年01月15日	2014年01月15日	2016年01月15日	浏阳市人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=db479a16-48c8-4826-8cee-f6048977d861
﻿崇信县	6208232014B00033	崇信县城东加油站	崇信县东街村	1.039600	新增建设用地	批发零售用地	挂牌出让	40	零售业	一级	194.9250	中石油甘肃平凉销售分公司	1.20	1.00	2014年01月30日	2014年02月20日	2016年02月20日	崇信县人民政府	2014年01月12日	http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f3b0aa7e-bbce-41be-b4f9-cf1d9166eb03
