Name,Eng_Name,province,GDP-2014,rank,GDP(RMB),GDO(dollar),GDP(PPP)
安徽,Anhui,CN.AH,9.2,14,2084875,339401,576060
北京,Beijing,CN.BJ,7.3,13,2133083,347249,589380
福建,Fujian,CN.FJ,9.9,11,2405576,391609,664671
甘肃,Gansu,CN.GS,8.9,27,683527,111273,188861
广东,Guangdong,CN.GD,7.8,1,6779224,1103605,1873128
广西,Guangxi,CN.GX,8.5,19,1567297,255144,433051
贵州,Guizhou,CN.GZ,10.8,26,925101,150599,255609
海南,Hainan,CN.HA,8.5,28,350072,56989,96726
河北,Hebei,CN.HB,6.5,6,2942115,478953,812919
河南,Henan,CN.HE,8.9,5,3493938,568786,965390
黑龙江,Heilongjiang,CN.HL,5.6,20,1503938,244829,415544
湖北,Hubei,CN.HU,9.7,9,2736704,445514,756163
湖南,Hunan,CN.HN,9.5,10,2704846,440328,747360
吉林,Jilin,CN.JL,6.5,22,1380381,224715,381405
江苏,Jiangsu,CN.JS,8.7,2,6508832,1059587,1798417
江西,Jiangxi,CN.JX,9.7,18,1570859,255724,434035
辽宁,Liaoning,CN.LN,5.8,7,2862658,466018,790964
内蒙古,Inner Mongoria,CN.NM,7.8,15,1776951,289274,490979
宁夏,Ningxia,CN.NX,8,29,275210,44802,76042
青海,Qinghai,CN.QH,9.2,30,230112,37460,63581
山东,Shandong,CN.SD,8.7,3,5942659,967419,1641981
山西,Shanxi,CN.SX,4.9,24,1275944,207714,352549
陕西,Shaanxi,CN.SA,9.7,16,1768994,287978,488780
上海,Shanghai,CN.SH,7,12,2356094,383554,650999
四川,Sichuan,CN.SC,8.5,8,2853666,464555,788480
天津,Tianjing,CN.TJ,10,17,1572247,255950,434418
西藏,Tibet,CN.XZ,10.8,31,92083,14990,25443
新疆,Xinjiang,CN.XJ,10,25,926410,150812,255971
云南,Yunnan,CN.YN,8.1,23,1281459,208612,354072
浙江,Zhejiang,CN.ZJ,7.6,4,4015350,653668,1109458
重庆,Chongqing,CN.CQ,10.9,21,1426540,232230,394159
