Date	Year	state_name	Num_Institutions	Total_Assets	Num_Offices	Depoits($000)	HHI
06-30-2000	2000	Alabama	180	335,729,691	1,429	52,709,817	866.4906
06-30-2000	2000	Alaska	9	84,238,451	134	4,644,026	2,750.8231
06-30-2000	2000	American Samoa	2	12,687,197	5	104,735	5,004.0505
06-30-2000	2000	Arizona	63	847,179,845	938	43,221,809	1,865.6371
06-30-2000	2000	Arkansas	212	771,736,004	1,247	32,744,451	311.1433
06-30-2000	2000	California	382	1,411,989,321	6,195	453,771,592	912.8507
06-30-2000	2000	Colorado	212	307,670,776	1,265	48,754,718	586.8466
06-30-2000	2000	Connecticut	83	981,921,410	1,183	58,338,888	963.7121
06-30-2000	2000	Delaware	45	421,773,031	242	61,571,711	1,745.3846
06-30-2000	2000	District Of Columbia	24	1,035,395,569	203	11,869,797	1,438.5002
06-30-2000	2000	Federated States Of Micronesia	3	13,369,797	9	124,535	3,428.1900
06-30-2000	2000	Florida	348	1,922,409,017	4,661	207,851,630	892.3972
06-30-2000	2000	Georgia	382	1,255,457,974	2,329	96,537,412	569.7696
06-30-2000	2000	Guam	9	438,184,794	39	1,332,839	1,724.5093
06-30-2000	2000	Hawaii	14	32,277,399	305	18,177,215	2,317.1045
06-30-2000	2000	Idaho	36	946,454,142	448	10,599,159	1,513.0523
06-30-2000	2000	Illinois	876	1,413,069,666	3,978	239,100,850	322.4925
06-30-2000	2000	Indiana	249	462,893,683	2,247	70,566,399	413.1197
06-30-2000	2000	Iowa	477	843,105,780	1,486	42,530,636	237.7672
06-30-2000	2000	Kansas	410	725,852,643	1,398	38,506,402	224.7003
06-30-2000	2000	Kentucky	303	1,002,986,673	1,617	48,344,923	284.3497
06-30-2000	2000	Louisiana	191	174,504,821	1,476	46,444,471	1,054.4642
06-30-2000	2000	Maine	45	92,810,632	512	13,558,927	866.0713
06-30-2000	2000	Marshall Islands	2	13,320,432	5	37,557	5,298.6613
06-30-2000	2000	Maryland	165	1,117,639,998	1,711	64,145,018	653.3151
06-30-2000	2000	Massachusetts	238	416,972,102	1,972	133,948,927	1,279.1533
06-30-2000	2000	Michigan	207	344,675,847	2,967	117,241,547	744.4451
06-30-2000	2000	Minnesota	532	280,924,898	1,577	70,649,162	878.9680
06-30-2000	2000	Mississippi	114	177,456,464	1,102	28,753,938	625.4828
06-30-2000	2000	Missouri	423	714,781,889	2,096	75,425,327	493.0201
06-30-2000	2000	Montana	92	15,144,728	344	9,328,630	586.6135
06-30-2000	2000	Nebraska	309	129,155,884	945	27,643,695	327.3425
06-30-2000	2000	Nevada	45	1,080,421,102	413	18,366,150	1,459.0263
06-30-2000	2000	New Hampshire	47	299,981,817	414	25,186,980	2,221.4784
06-30-2000	2000	New Jersey	177	1,160,270,950	3,010	156,340,498	577.2538
06-30-2000	2000	New Mexico	66	623,567,418	499	14,079,302	806.6194
06-30-2000	2000	New York	269	2,584,976,834	4,558	444,010,097	804.6129
06-30-2000	2000	North Carolina	130	1,047,756,671	2,448	112,941,343	1,285.0659
06-30-2000	2000	North Dakota	120	102,375,822	410	10,191,443	405.2422
06-30-2000	2000	Northern Mariana Islands	5	55,685,233	11	476,286	2,994.3953
06-30-2000	2000	Ohio	365	541,372,869	3,892	164,806,274	450.9394
06-30-2000	2000	Oklahoma	312	656,785,595	1,141	37,343,074	296.8775
06-30-2000	2000	Oregon	64	997,912,969	985	29,656,125	1,181.9693
06-30-2000	2000	Palau	3	13,414,354	3	105,292	5,403.6385
06-30-2000	2000	Pennsylvania	332	700,699,111	4,530	177,019,798	565.3834
06-30-2000	2000	Puerto Rico	14	436,122,306	526	30,346,887	1,612.7191
06-30-2000	2000	Rhode Island	16	219,658,124	220	14,467,132	2,556.7799
06-30-2000	2000	South Carolina	118	1,028,888,292	1,245	38,161,204	676.1892
06-30-2000	2000	South Dakota	109	123,721,048	427	12,929,887	526.4760
06-30-2000	2000	Tennessee	234	1,230,651,203	1,976	72,159,190	657.8039
06-30-2000	2000	Texas	804	1,208,034,561	4,801	217,427,276	425.8419
06-30-2000	2000	Utah	67	906,293,196	576	38,208,471	1,558.1562
06-30-2000	2000	Vermont	26	119,856,851	267	7,797,800	1,212.2349
06-30-2000	2000	Virgin Islands Of The U.S.	7	785,041,322	23	1,145,036	3,315.4045
06-30-2000	2000	Virginia	193	1,213,384,555	2,448	87,819,416	604.6269
06-30-2000	2000	Washington	126	994,353,134	1,691	60,233,875	1,012.5919
06-30-2000	2000	West Virginia	99	122,483,688	621	20,507,803	487.1479
06-30-2000	2000	Wisconsin	365	281,808,492	2,116	75,379,079	270.0279
06-30-2000	2000	Wyoming	56	104,986,722	176	8,057,618	1,183.5332
